	class_count	expression_avg	happy_avg	stu_count	tea_id	tags
206	21	259.7142857	0.037099546	9	26329006	[]
207	11	177.1818182	0.09302289	9	22079060	[]
208	14	305.9285714	0.045517133	8	20026789	[]
209	11	134.9090909	0.015404866	4	31981109	['enhance_happyness']
210	7	198.1428571	0.086226035	5	9554415	[]
212	28	288.0357143	0.041463481	12	30433854	[]
213	19	181.8421053	0.103431433	15	2446249	[]
216	8	203.5	0.056596952	4	35808975	[]
218	25	220.84	0.112320786	12	34295437	[]
220	6	214.6666667	0.077802676	4	8727657	[]
222	11	326.3636364	0.050290468	6	15254401	[]
224	28	224.8928571	0.07841511	11	31075024	[]
225	15	223.4666667	0.058928041	7	3467554	[]
226	33	264.5757576	0.111785233	18	10534351	[]
227	14	239.8571429	0.042130806	9	30462660	[]
229	14	356.2142857	0.079510268	6	6834566	[]
230	8	221.375	0.103861739	6	7172820	[]
233	11	231.6363636	0.069753693	7	38001427	[]
235	8	229.75	0.08490844	5	37799453	[]
236	26	233.1538462	0.052103545	12	22183117	[]
239	6	217	0.150887338	4	37486754	[]
240	9	221.8888889	0.035634677	5	14752363	[]
241	10	332.8	0.149669025	5	31524787	[]
243	10	255.2	0.101297221	5	7123673	[]
244	18	219.9444444	0.051774378	10	13332911	[]
245	12	226.6666667	0.058567032	7	25616086	[]
246	18	297.5	0.034062264	6	22678778	[]
247	16	254.875	0.095035023	4	23877278	[]
253	14	250.8571429	0.076979826	7	19857519	[]
255	13	332.6923077	0.065132994	6	24043184	[]
256	14	250.8571429	0.116959196	8	25309247	[]
257	10	241.5	0.042500509	6	30039912	[]
258	26	190.5	0.091046229	9	5081930	[]
260	23	254.7826087	0.098904102	8	28796914	[]
262	9	212.4444444	0.043636185	6	19021437	[]
264	9	298	0.1080346	6	37456100	[]
265	26	282.0769231	0.061060009	16	34971230	[]
266	7	251.7142857	0.119873392	5	31245904	[]
274	12	189.4166667	0.066561106	6	31502253	[]
